epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.073,1.23637,1.55619,1.29383,0.98526,0.93155,0.99091,0.70162,1.00263,1.82259,1.11698,0.000656085,0.000656085,0.000656085
2,21.6327,1.16174,1.05525,1.22547,0.58701,0.55401,0.57739,0.29209,1.58154,1.97122,1.74869,0.00130966,0.00130966,0.00130966
3,31.1048,1.15011,0.93108,1.21405,0.94643,0.92334,0.95892,0.62578,1.17974,1.19116,1.24769,0.00195003,0.00195003,0.00195003
4,40.5064,1.1419,0.82019,1.20906,0.91329,0.95819,0.97508,0.66602,1.11359,0.81019,1.19869,0.0019406,0.0019406,0.0019406
5,50.1249,1.09775,0.74133,1.1719,0.79971,0.95995,0.93481,0.61248,1.06876,0.68952,1.10721,0.0019208,0.0019208,0.0019208
6,59.6443,1.08936,0.68711,1.16976,0.93971,0.96167,0.99237,0.68334,1.0737,0.54579,1.15211,0.001901,0.001901,0.001901
7,69.3062,1.04304,0.64105,1.15568,0.9637,0.92497,0.98337,0.63284,1.16905,0.68267,1.16973,0.0018812,0.0018812,0.0018812
8,78.9453,1.08772,0.67153,1.16594,0.97576,1,0.99448,0.71667,0.98442,0.45567,1.06921,0.0018614,0.0018614,0.0018614
9,88.6844,1.06514,0.62552,1.16765,0.99267,1,0.99497,0.71712,1.0023,0.46716,1.08117,0.0018416,0.0018416,0.0018416
10,98.5841,1.07206,0.61208,1.15599,0.99952,1,0.995,0.70318,1.04641,0.46981,1.12417,0.0018218,0.0018218,0.0018218
11,108.932,1.04421,0.59191,1.14584,0.99626,1,0.995,0.74226,0.96348,0.41141,1.05941,0.001802,0.001802,0.001802
12,119.333,1.00869,0.57041,1.13823,0.99254,0.99652,0.99497,0.72876,0.95286,0.41739,1.06002,0.0017822,0.0017822,0.0017822
13,130.907,1.01204,0.56138,1.12861,0.98335,0.90592,0.96953,0.68742,1.06451,0.75181,1.13155,0.0017624,0.0017624,0.0017624
14,144.222,1.00705,0.55385,1.12445,1,0.99815,0.995,0.73503,0.96065,0.39709,1.05683,0.0017426,0.0017426,0.0017426
15,157.219,0.99869,0.5497,1.13145,0.98705,0.98258,0.99459,0.71009,0.98649,0.50713,1.07053,0.0017228,0.0017228,0.0017228
16,170.017,0.99357,0.55762,1.12196,0.99649,0.98997,0.99497,0.7165,1.04133,0.42644,1.07845,0.001703,0.001703,0.001703
17,182.789,1.00209,0.54934,1.11904,0.98957,0.99161,0.9949,0.73113,1.00908,0.40752,1.07785,0.0016832,0.0016832,0.0016832
18,194.441,1.00025,0.53319,1.12079,0.99911,1,0.995,0.75124,0.93509,0.38672,1.04536,0.0016634,0.0016634,0.0016634
19,206.27,0.98175,0.53114,1.12681,0.99653,1,0.99233,0.75188,0.93204,0.39688,1.03435,0.0016436,0.0016436,0.0016436
20,218.035,0.97548,0.53993,1.12459,0.99897,1,0.995,0.76327,0.93631,0.39704,1.04984,0.0016238,0.0016238,0.0016238
21,230.03,0.97319,0.52568,1.11629,0.99923,1,0.995,0.7441,0.96707,0.3997,1.04574,0.001604,0.001604,0.001604
22,241.755,0.96062,0.50751,1.10101,0.99624,1,0.995,0.76343,0.91794,0.37049,1.0346,0.0015842,0.0015842,0.0015842
23,252.976,0.96081,0.51108,1.12226,0.99968,1,0.995,0.76817,0.9279,0.37107,1.01468,0.0015644,0.0015644,0.0015644
24,264.869,0.96788,0.52221,1.10849,0.98578,1,0.99406,0.75985,0.91884,0.3819,1.01687,0.0015446,0.0015446,0.0015446
25,278.227,0.95761,0.49761,1.10051,0.99653,0.99936,0.995,0.76349,0.90831,0.35285,1.01173,0.0015248,0.0015248,0.0015248
26,291.438,0.98212,0.51278,1.12256,0.99749,1,0.995,0.75516,0.91986,0.37013,1.03255,0.001505,0.001505,0.001505
27,303.193,0.95536,0.51501,1.10677,0.94524,0.97909,0.99134,0.76293,0.9141,0.45737,1.02706,0.0014852,0.0014852,0.0014852
28,316.835,0.94765,0.49839,1.09697,0.99581,1,0.995,0.76938,0.9141,0.35546,1.0226,0.0014654,0.0014654,0.0014654
29,330.71,0.93942,0.48681,1.08913,0.9987,0.99652,0.995,0.76056,0.92828,0.3699,1.03742,0.0014456,0.0014456,0.0014456
30,344.516,0.95203,0.49089,1.09261,0.99941,1,0.995,0.77144,0.90101,0.35884,1.00876,0.0014258,0.0014258,0.0014258
31,358.236,0.932,0.48396,1.08847,0.99973,1,0.995,0.78448,0.91183,0.35804,1.01477,0.001406,0.001406,0.001406
32,371.668,0.93055,0.48754,1.09642,0.99585,0.99652,0.99458,0.77301,0.93952,0.34647,1.0403,0.0013862,0.0013862,0.0013862
33,385.424,0.93769,0.48242,1.0911,1,0.99902,0.995,0.77761,0.91309,0.35614,1.01095,0.0013664,0.0013664,0.0013664
34,399.112,0.91734,0.47628,1.08638,0.99308,0.99961,0.995,0.7731,0.88468,0.34134,0.99851,0.0013466,0.0013466,0.0013466
35,413.008,0.90271,0.45561,1.08482,0.99863,1,0.995,0.77283,0.89091,0.32621,1.00421,0.0013268,0.0013268,0.0013268
36,426.843,0.91595,0.45786,1.07969,0.99889,1,0.995,0.7775,0.90095,0.35321,1.00388,0.001307,0.001307,0.001307
37,440.538,0.91798,0.47,1.0888,0.99305,1,0.995,0.76177,0.91991,0.34527,1.02708,0.0012872,0.0012872,0.0012872
38,454.216,0.90223,0.45861,1.06945,0.99594,1,0.99497,0.77642,0.89491,0.32576,1.01348,0.0012674,0.0012674,0.0012674
39,467.713,0.91499,0.46081,1.08554,0.99576,1,0.995,0.77631,0.89938,0.33859,0.99682,0.0012476,0.0012476,0.0012476
40,480.635,0.91941,0.4561,1.08749,0.99594,1,0.995,0.78436,0.90557,0.34678,0.99302,0.0012278,0.0012278,0.0012278
41,494.298,0.88283,0.442,1.06429,0.99572,0.99303,0.99497,0.75968,0.90711,0.35469,1.0162,0.001208,0.001208,0.001208
42,508.161,0.88921,0.46164,1.06651,1,0.99913,0.995,0.77736,0.88667,0.32977,0.99281,0.0011882,0.0011882,0.0011882
43,521.933,0.90451,0.46028,1.08296,0.99804,1,0.995,0.76244,0.89286,0.33318,0.99763,0.0011684,0.0011684,0.0011684
44,535.614,0.90018,0.46116,1.06622,0.99466,0.99652,0.99364,0.78303,0.88539,0.33471,1.00603,0.0011486,0.0011486,0.0011486
45,549.247,0.89384,0.45172,1.07221,0.99578,1,0.995,0.7704,0.89607,0.34014,1.00718,0.0011288,0.0011288,0.0011288
46,562.44,0.88164,0.44119,1.05797,0.99984,1,0.995,0.77913,0.88764,0.3384,1.00201,0.001109,0.001109,0.001109
47,574.529,0.89048,0.44112,1.07633,0.99308,0.99972,0.995,0.78889,0.90177,0.33475,0.99632,0.0010892,0.0010892,0.0010892
48,586.597,0.88231,0.43467,1.05955,0.99648,1,0.995,0.78703,0.90061,0.32928,0.98877,0.0010694,0.0010694,0.0010694
49,599.546,0.90784,0.44186,1.07083,0.99964,1,0.995,0.78737,0.89926,0.31968,1.0079,0.0010496,0.0010496,0.0010496
50,613.212,0.8661,0.42104,1.05193,0.99929,1,0.995,0.78358,0.89334,0.31335,1.00249,0.0010298,0.0010298,0.0010298
51,626.987,0.8762,0.42508,1.06558,0.99998,1,0.995,0.78144,0.89693,0.33071,0.99587,0.00101,0.00101,0.00101
52,640.643,0.85528,0.42845,1.05843,0.99957,1,0.995,0.79541,0.87885,0.31071,0.99321,0.0009902,0.0009902,0.0009902
53,653.512,0.87074,0.44019,1.06225,0.99974,1,0.995,0.79156,0.87986,0.30868,0.99507,0.0009704,0.0009704,0.0009704
54,667.22,0.84714,0.4108,1.05155,0.99609,1,0.995,0.79394,0.87003,0.30976,0.99305,0.0009506,0.0009506,0.0009506
